combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
CPR1ERY1STR1DOX1TMP1,1,1,0.81113,1,1,1,0.97261,1,1,1,1,1,1,1,1,1,1,1,0.94425,1,1,1,1,1,1,1,1,1,0,0.93957,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,0,0,Inf,Inf,0,Inf,Inf,0,Inf,-0.13903,0,0,-0.18703,-0.13903,0,-0.15887,-0.15887,0,-0.15887,Inf,Inf,0,-1,Inf,7.66,5.8953,0,-1,385640294940938.3,Inf,5.3774
CPR1ERY1STR1DOX1TMP2,1,1,0.81113,1,1,1,0.97261,1,0.93386,1,1,1,1,1,1,1,1,1,0.94425,1,1,1,0.95671,1,1,1,0.7601,1,1,0.93965,0.88654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,0,0,Inf,Inf,0,Inf,Inf,0,Inf,-0.13903,0,595751327732836,-0.18703,-0.097338,595751327732836,-0.15887,-0.19528,0,-0.15887,Inf,-0.062903,0,Inf,Inf,7.66,-0.091202,-0.062038,2.6499,3.9688,Inf,-0.060972
CPR1ERY1STR1DOX1TMP3,1,1,0.81113,1,0.69659,1,0.97261,1,0.85619,1,1,1,1,0.83883,0.95184,1,1,1,0.94425,0.92482,1,1,1,1,1,1,1,1,0.89047,0.75002,1,NaN,NaN,NaN,Inf,NaN,NaN,NaN,NaN,2.081,NaN,Inf,0,Inf,Inf,2.7346,Inf,Inf,3.3061,Inf,3.3061,-0.13903,0,-0.13763,-0.18703,-0.14429,-0.10026,-0.15887,-0.17797,-0.20334,-0.15069,Inf,3.3061,Inf,2.4736,1.406,7.66,0.21445,0.58046,-0.027491,-0.19186,3.3061,288.4469
CPR1ERY1STR1DOX2TMP1,1,1,0.81113,0.95802,1,1,0.97261,1,1,1,1,1,0.95101,1,0.8361,1,1,1,0.82839,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.12726,Inf,Inf,0,1.5071,Inf,Inf,6.5469,Inf,Inf,6.5469,-0.13903,-0.040288,0,-0.27319,-0.13903,2.9043,-0.14237,-0.15887,2.9043,-0.032006,6.5469,Inf,Inf,6.5469,6.5469,4.0231,5.8953,-0.10867,1.4449,0.176,6.5469,-0.17912
CPR1ERY1STR1DOX2TMP2,1,1,0.81113,0.95802,1,1,0.97261,1,0.93386,1,1,1,0.95101,1,0.94426,1,1,1,0.82839,1,1,1,0.95671,1,0.97402,1,0.7601,1,1,0.8071,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,0,1.5071,Inf,Inf,6.5469,Inf,Inf,5.7839,-0.13903,-0.040288,595751327732836,-0.27319,-0.097338,2.7333,-0.14237,-0.19528,0.32782,-0.13096,6.5469,-0.062903,Inf,6.5469,0.88179,4.0231,-0.091202,-0.069205,8.8751,-0.012213,6.5469,0.79167
CPR1ERY1STR1DOX2TMP3,1,1,0.81113,0.95802,0.69659,1,0.97261,1,0.85619,1,1,1,0.95101,0.83883,0.75684,1,1,1,0.82839,0.92482,1,1,1,1,0.83146,1,1,1,0.9272,0.86249,0.96034,NaN,NaN,NaN,Inf,NaN,NaN,NaN,NaN,2.081,3.0604,Inf,Inf,Inf,1.5071,2.7346,11.3756,6.5469,3.3061,11.3756,1.8685,-0.13903,-0.040288,-0.13763,-0.27319,-0.14429,0.25175,-0.14237,-0.17797,-0.071284,-0.16634,6.5469,3.3061,11.3756,2.485,2.0683,4.0231,0.21445,-0.074466,0.39924,-0.055183,2.6984,0.45979
CPR1ERY1STR1DOX3TMP1,1,1,0.81113,0.92992,1,1,0.97261,1,1,1,1,1,1,1,0.90112,1,1,1,1,1,1,1,1,1,0.84922,1,1,1,0.80855,0.82375,0.79853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,0,4.3225,Inf,Inf,4.3225,Inf,Inf,1.6701,-0.13903,-0.065494,0,-0.17151,-0.13903,0.4109,-0.18863,-0.15887,0.4109,-0.26301,4.3225,Inf,Inf,0.9547,1.222,2.8841,5.8953,-0.027992,952.6926,4.5458,0.77841,-0.099571
CPR1ERY1STR1DOX3TMP2,1,1,0.81113,0.92992,1,1,0.97261,1,0.93386,1,1,1,1,1,0.80215,1,1,1,1,1,0.84397,1,0.95671,0.96551,0.85059,1,0.7601,1,0.65006,0.89047,0.87693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.1374,Inf,Inf,0,4.3225,Inf,-0.092419,4.3225,Inf,Inf,1.6943,-0.13903,-0.065494,595751327732836,-0.17151,-0.097338,3.876,-0.18863,-0.19528,1.3309,-0.20654,4.3225,-0.062903,Inf,-0.13817,2.3957,2.8841,-0.091202,0.030613,-0.076295,3.9121,2.1576,4.0688
CPR1ERY1STR1DOX3TMP3,1,1,0.81113,0.92992,0.69659,1,0.97261,1,0.85619,1,1,1,1,0.83883,0.77253,1,1,1,1,0.92482,0.78122,1,1,0.81259,0.73396,1,1,0.95145,0.59245,0.58515,0.84085,NaN,NaN,NaN,Inf,NaN,NaN,NaN,NaN,2.081,2.5554,Inf,Inf,Inf,4.3225,2.7346,2.7333,4.3225,3.3061,3.376,1.2183,-0.13903,-0.065494,-0.13763,-0.17151,-0.14429,-0.19442,-0.18863,-0.17797,-0.26362,-0.30259,4.3225,3.3061,6.2202,0.39158,0.3489,2.8841,0.21445,33.8048,-0.06691,-0.089743,1.8428,5.0062
CPR1ERY1STR2DOX1TMP1,1,1,0.85252,1,1,1,1,1,1,1,1,1,1,0.85017,1,0.98567,1,1,1,1,1,0.98567,0.96776,1,0.64702,1,1,1,0.99031,1,0.84596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0027566,NaN,Inf,0,0,Inf,Inf,0,Inf,Inf,0,-0.24106,-0.14101,0,0,-0.12852,0.015935,0,-0.14101,-0.029961,0,-0.35146,Inf,Inf,0,Inf,Inf,6.1441,0.41879,0,145.0791,8.9816,-0.0076997,-0.39654
CPR1ERY1STR2DOX1TMP2,1,1,0.85252,1,1,1,1,1,0.93386,1,1,1,1,0.55033,1,0.98567,1,1,1,1,1,0.98567,1,1,0.93737,1,1,1,0.83044,0.93103,0.51359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.35448,NaN,Inf,0,0,Inf,Inf,0,Inf,Inf,0,Inf,-0.14101,0,595751327732836,-0.12852,3.9367,595751327732836,-0.14101,2.0492,0,1.6245,Inf,Inf,0,-0.025902,Inf,6.1441,-0.25065,-0.062038,-0.35435,-0.24012,-0.39757,-0.020608
CPR1ERY1STR2DOX1TMP3,1,1,0.85252,1,0.69659,1,1,1,0.85619,1,1,1,1,0.76272,0.95184,0.98567,1,1,1,1,1,0.98567,1,1,0.66549,1,1,1,1,1,1,NaN,NaN,NaN,Inf,NaN,NaN,NaN,NaN,1.6437,NaN,Inf,0,Inf,Inf,3.9534,Inf,Inf,3.9534,Inf,0.69723,-0.14101,0,-0.13763,-0.12852,-0.0015069,-0.10026,-0.14101,-0.11041,-0.20334,-0.38554,Inf,3.9534,Inf,3.9534,3.9534,6.1441,-0.053735,0.58046,1.3564,5.6611,3.9534,-0.11147
CPR1ERY1STR2DOX2TMP1,1,1,0.85252,0.95802,1,1,1,1,1,1,1,1,1,0.85017,0.8361,0.98567,1,1,1,1,1,1,0.96776,1,0.67353,1,1,1,0.99164,0.99013,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0027566,-0.12726,Inf,Inf,0,5.1208,Inf,Inf,5.1208,Inf,Inf,-0.17534,-0.14101,-0.040288,0,-0.15043,0.015935,2.9043,-0.15043,-0.029961,2.9043,-0.24645,5.1208,Inf,Inf,4.8871,4.8451,36.8636,0.41879,-0.10867,2.6103,4.5326,5.1208,-0.23154
CPR1ERY1STR2DOX2TMP2,1,1,0.85252,0.95802,1,1,1,1,0.93386,1,1,1,1,0.55033,0.94426,0.98567,1,1,1,1,1,1,1,1,0.68664,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.35448,NaN,Inf,Inf,0,5.1208,Inf,Inf,5.1208,Inf,Inf,-0.15928,-0.14101,-0.040288,595751327732836,-0.15043,3.9367,2.7333,-0.15043,2.0492,0.32782,-0.017332,5.1208,Inf,Inf,5.1208,5.1208,36.8636,-0.25065,-0.069205,-0.014849,0.060155,5.1208,-0.049169
CPR1ERY1STR2DOX2TMP3,1,1,0.85252,0.95802,0.69659,1,1,1,0.85619,1,1,1,1,0.76272,0.75684,0.98567,1,1,1,1,1,1,1,1,0.83427,1,1,1,1,1,1,NaN,NaN,NaN,Inf,NaN,NaN,NaN,NaN,1.6437,3.0604,Inf,Inf,Inf,5.1208,3.9534,11.3756,5.1208,3.9534,11.3756,2.0785,-0.14101,-0.040288,-0.13763,-0.15043,-0.0015069,0.25175,-0.15043,-0.11041,-0.071284,-0.1074,5.1208,3.9534,11.3756,3.3767,3.3767,36.8636,-0.053735,-0.074466,-0.060793,0.069452,3.3767,0.51228
CPR1ERY1STR2DOX3TMP1,1,1,0.85252,0.92992,1,1,1,1,1,1,1,1,0.83069,0.85017,0.90112,0.98567,1,1,1,1,1,1,0.96776,1,0.97749,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.63463,-0.0027566,NaN,Inf,Inf,0,3.4683,Inf,Inf,3.4683,Inf,Inf,3.0915,-0.14101,-0.065494,0,-0.026842,0.015935,0.4109,-0.026842,-0.029961,0.4109,4.8563,3.4683,Inf,Inf,3.4683,3.4683,0.10825,0.41879,-0.027992,-0.14466,-0.12214,3.4683,1.0522
CPR1ERY1STR2DOX3TMP2,1,1,0.85252,0.92992,1,1,1,1,0.93386,1,1,1,0.83069,0.55033,0.80215,0.98567,1,1,1,1,0.84397,1,1,0.96551,0.7339,1,1,1,1,1,0.79588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.63463,-0.35448,-0.1374,Inf,Inf,0,3.4683,Inf,-0.092419,3.4683,Inf,Inf,-0.074263,-0.14101,-0.065494,595751327732836,-0.026842,3.9367,3.876,-0.026842,2.0492,1.3309,4.1285,3.4683,Inf,Inf,3.4683,3.4683,0.10825,-0.25065,0.030613,-0.14533,-0.18282,0.051888,-0.15451
CPR1ERY1STR2DOX3TMP3,1,1,0.85252,0.92992,0.69659,1,1,1,0.85619,1,1,1,0.83069,0.76272,0.77253,0.98567,1,1,1,1,0.78122,1,1,0.81259,1,1,1,0.95145,0.78794,0.9241,0.93111,NaN,NaN,NaN,Inf,NaN,NaN,NaN,0.63463,1.6437,2.5554,Inf,Inf,Inf,3.4683,3.9534,2.7333,3.4683,3.9534,3.376,3.1019,-0.14101,-0.065494,-0.13763,-0.026842,-0.0015069,-0.19442,-0.026842,-0.11041,-0.26362,0.59974,3.4683,3.9534,6.2202,1.6328,2.576,0.10825,-0.053735,33.8048,-0.29561,-0.1087,2.6247,4.0663
CPR1ERY1STR3DOX1TMP1,1,1,0.91278,1,1,1,1,1,1,1,1,1,1,0.78842,1,1,1,1,1,1,1,1,1,1,0.62957,1,1,1,1,1,0.92032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.13625,NaN,Inf,0,0,Inf,Inf,0,Inf,Inf,0,-0.31027,-0.080221,0,0,-0.080221,1.4259,0,-0.080221,1.4259,0,-0.28101,Inf,Inf,0,Inf,Inf,261862641305626.7,-0.11061,0,1.9785,1.9785,Inf,-0.26141
CPR1ERY1STR3DOX1TMP2,1,1,0.91278,1,1,1,1,1,0.93386,1,1,1,1,0.65374,1,1,1,1,1,1,1,1,1,1,0.53455,1,1,1,1,1,0.99556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.2838,NaN,Inf,0,0,Inf,Inf,0,Inf,Inf,0,-0.41437,-0.080221,0,595751327732836,-0.080221,11.8987,595751327732836,-0.080221,2.9701,0,-0.27856,Inf,Inf,0,Inf,Inf,261862641305626.7,-0.23876,-0.062038,0.48398,0.79678,Inf,-0.14422
CPR1ERY1STR3DOX1TMP3,1,1,0.91278,1,0.69659,1,1,1,0.85619,1,1,1,1,0.50789,0.95184,1,1,1,1,1,1,1,1,1,0.45834,1,1,1,1,1,0.77578,NaN,NaN,NaN,Inf,NaN,NaN,NaN,NaN,-0.20123,NaN,Inf,0,Inf,Inf,5.9939,Inf,Inf,5.9939,Inf,-0.27915,-0.080221,0,-0.13763,-0.080221,1.3839,-0.10026,-0.080221,0.45726,-0.20334,-0.42823,Inf,5.9939,Inf,5.9939,5.9939,261862641305626.7,-0.24589,0.58046,0.48064,1.1921,2.3033,-0.29696
CPR1ERY1STR3DOX2TMP1,1,1,0.91278,0.95802,1,1,1,1,1,1,1,1,0.79458,0.78842,0.8361,1,1,1,1,1,1,1,1,1,0.51479,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.091348,-0.13625,-0.12726,Inf,Inf,0,3.2762,Inf,Inf,3.2762,Inf,Inf,-0.41131,-0.080221,-0.040288,0,0.68548,1.4259,2.9043,0.68548,1.4259,2.9043,-0.087498,3.2762,Inf,Inf,3.2762,3.2762,-0.083296,-0.11061,-0.10867,0.15528,0.15528,3.2762,-0.088361
CPR1ERY1STR3DOX2TMP2,1,1,0.91278,0.95802,1,1,1,1,0.93386,1,1,1,0.79458,0.65374,0.94426,1,1,1,1,1,1,1,1,1,0.45458,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.091348,-0.2838,NaN,Inf,Inf,0,3.2762,Inf,Inf,3.2762,Inf,Inf,-0.48016,-0.080221,-0.040288,595751327732836,0.68548,11.8987,2.7333,0.68548,2.9701,0.32782,-0.14849,3.2762,Inf,Inf,3.2762,3.2762,-0.083296,-0.23876,-0.069205,0.054574,0.20117,3.2762,-0.052052
CPR1ERY1STR3DOX2TMP3,1,1,0.91278,0.95802,0.69659,1,1,1,0.85619,1,1,1,0.79458,0.50789,0.75684,1,1,1,1,1,1,1,1,1,0.4638,1,1,1,1,1,1,NaN,NaN,NaN,Inf,NaN,NaN,NaN,-0.091348,-0.20123,3.0604,Inf,Inf,Inf,3.2762,5.9939,11.3756,3.2762,5.9939,11.3756,-0.23861,-0.080221,-0.040288,-0.13763,0.68548,1.3839,0.25175,0.68548,0.45726,-0.071284,-0.095219,3.2762,5.9939,11.3756,4.4696,4.4696,-0.083296,-0.24589,-0.074466,-0.061496,0.15442,4.4696,0.018507
CPR1ERY1STR3DOX3TMP1,1,1,0.91278,0.92992,1,1,1,1,1,1,1,1,0.80005,0.78842,0.90112,1,1,1,1,1,1,1,1,1,0.44763,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.05744,-0.13625,NaN,Inf,Inf,0,2.3634,Inf,Inf,2.3634,Inf,Inf,-0.47264,-0.080221,-0.065494,0,0.3782,1.4259,0.4109,0.3782,1.4259,0.4109,-0.31984,2.3634,Inf,Inf,2.3634,2.3634,-0.062875,-0.11061,-0.027992,0.67055,0.67055,2.3634,-0.19626
CPR1ERY1STR3DOX3TMP2,1,1,0.91278,0.92992,1,1,1,1,0.93386,1,1,1,0.80005,0.65374,0.80215,1,1,1,1,1,0.84397,1,1,0.96551,0.54713,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.05744,-0.2838,-0.1374,Inf,Inf,0,2.3634,Inf,-0.092419,2.3634,Inf,Inf,-0.35542,-0.080221,-0.065494,595751327732836,0.3782,11.8987,3.876,0.3782,2.9701,1.3309,0.63242,2.3634,Inf,Inf,2.3634,2.3634,-0.062875,-0.23876,0.030613,0.017434,-0.041971,2.3634,-0.080197
CPR1ERY1STR3DOX3TMP3,1,1,0.91278,0.92992,0.69659,1,1,1,0.85619,1,1,1,0.80005,0.50789,0.77253,1,1,1,1,1,0.78122,1,1,0.81259,0.85658,1,1,0.95145,0.89017,1,0.93502,NaN,NaN,NaN,Inf,NaN,NaN,NaN,-0.05744,-0.20123,2.5554,Inf,Inf,Inf,2.3634,5.9939,2.7333,2.3634,5.9939,3.376,2.5191,-0.080221,-0.065494,-0.13763,0.3782,1.3839,-0.19442,0.3782,0.45726,-0.26362,3.8089,2.3634,5.9939,6.2202,2.838,3.8809,-0.062875,-0.24589,33.8048,-0.26977,-0.10601,3.2639,0.36086
CPR1ERY2STR1DOX1TMP1,1,1,0.81113,1,1,1,0.97261,1,1,0.88237,1,0.88176,1,1,1,1,1,1,0.94425,1,1,1,1,0.72796,1,1,1,1,0,0.66565,0.74545,NaN,NaN,NaN,NaN,Inf,NaN,-0.11824,NaN,NaN,NaN,Inf,0,0,Inf,Inf,0,Inf,Inf,-0.27204,Inf,-0.042014,0,1065007872088772,-0.18703,-0.13903,0,-0.06651,0.094796,-0.17443,-0.15887,Inf,Inf,0,-1,-0.17935,1.1158,-0.031905,1.3008,-1,-0.14842,-0.080966,9.5877
CPR1ERY2STR1DOX1TMP2,1,1,0.81113,1,1,1,0.97261,1,0.93386,0.88237,1,0.651,1,1,1,1,1,1,0.94425,1,1,1,1,0.76828,1,1,0.85329,1,1,1,1,NaN,NaN,NaN,NaN,Inf,NaN,-0.349,NaN,NaN,NaN,Inf,0,0,Inf,Inf,0,Inf,Inf,-0.23172,Inf,-0.042014,0,6.2766,-0.18703,-0.097338,595751327732836,-0.06651,0.81437,1056364944688451,-0.15887,Inf,Inf,0,Inf,Inf,1.1158,-0.30729,-0.15499,2.6499,0.09778,Inf,0.028984
CPR1ERY2STR1DOX1TMP3,1,1,0.81113,1,0.69659,1,0.97261,1,0.85619,0.88237,1,0.51849,1,0.83883,0.95184,1,1,1,0.94425,0.92482,1,1,0.51837,0.55679,1,1,1,1,0.89047,1,0.93678,NaN,NaN,NaN,Inf,Inf,NaN,-0.25568,NaN,2.081,NaN,Inf,0,Inf,Inf,2.7346,Inf,Inf,-0.082575,-0.2007,3.3061,-0.042014,0,2.0171,-0.18703,-0.14429,-0.10026,-0.06651,-0.30326,-0.28039,-0.15069,Inf,3.3061,Inf,2.4736,3.3061,1.1158,0.45964,0.17908,-0.027491,31.3238,2.8256,-0.3534
CPR1ERY2STR1DOX2TMP1,1,1,0.81113,0.95802,1,1,0.97261,1,1,0.88237,0.78707,0.88176,0.95101,1,0.8361,1,1,1,0.82839,1,1,0.70035,1,0.65275,1,0.91948,1,1,1,1,1,NaN,NaN,NaN,NaN,Inf,-0.17844,-0.11824,NaN,NaN,-0.12726,Inf,Inf,0,1.5071,Inf,Inf,-0.098732,Inf,-0.31865,6.5469,-0.042014,4.0722,1065007872088772,-0.27319,-0.13903,2.9043,-0.2047,0.094796,0.42889,-0.032006,4.1822,Inf,Inf,6.5469,6.5469,23.7688,-0.031905,-0.087517,1.4449,1.7372,6.5469,-0.31062
CPR1ERY2STR1DOX2TMP2,1,1,0.81113,0.95802,1,1,0.97261,1,0.93386,0.88237,0.78707,0.651,0.95101,1,0.94426,1,1,1,0.82839,1,1,0.70035,1,0.62109,0.97402,0.91948,0.85329,1,1,0.93312,1,NaN,NaN,NaN,NaN,Inf,-0.17844,-0.349,NaN,NaN,NaN,Inf,Inf,0,1.5071,Inf,Inf,-0.098732,Inf,-0.3517,5.7839,-0.042014,4.0722,6.2766,-0.27319,-0.097338,2.7333,-0.2047,0.81437,0.98604,-0.13096,4.1822,Inf,Inf,6.5469,4.5827,23.7688,-0.30729,-0.19494,8.8751,1.0935,6.5469,-0.22547
CPR1ERY2STR1DOX2TMP3,1,1,0.81113,0.95802,0.69659,1,0.97261,1,0.85619,0.88237,0.78707,0.51849,0.95101,0.83883,0.75684,1,1,1,0.82839,0.92482,1,0.70035,0.51837,0.67614,0.83146,0.91948,1,1,0.9272,0.78807,1,NaN,NaN,NaN,Inf,Inf,-0.17844,-0.25568,NaN,2.081,3.0604,Inf,Inf,Inf,1.5071,2.7346,11.3756,-0.098732,-0.082575,0.30065,1.8685,-0.042014,4.0722,2.0171,-0.27319,-0.14429,0.25175,-0.2047,-0.30326,7.0641,-0.16634,4.1822,3.3061,11.3756,2.485,1.5891,23.7688,0.45964,-0.23782,0.39924,156.4514,2.9538,-0.30057
CPR1ERY2STR1DOX3TMP1,1,1,0.81113,0.92992,1,1,0.97261,1,1,0.88237,0.68972,0.88176,1,1,0.90112,1,1,1,1,1,1,1,1,1,0.84922,1,1,1,0.80855,0.78916,0.74148,NaN,NaN,NaN,NaN,Inf,-0.2583,-0.11824,NaN,NaN,NaN,Inf,Inf,0,4.3225,Inf,Inf,4.3225,Inf,Inf,1.6701,-0.042014,3.4272,1065007872088772,-0.17151,-0.13903,0.4109,0.41212,0.094796,3.2362,-0.26301,4.3225,Inf,Inf,0.9547,0.61364,-0.10734,-0.031905,-0.30591,952.6926,-0.26296,-0.016966,1.2516
CPR1ERY2STR1DOX3TMP2,1,1,0.81113,0.92992,1,1,0.97261,1,0.93386,0.88237,0.68972,0.651,1,1,0.80215,1,1,1,1,1,0.84397,1,1,0.90941,0.85059,1,0.85329,1,0.65006,0.84274,0.43869,NaN,NaN,NaN,NaN,Inf,-0.2583,-0.349,NaN,NaN,-0.1374,Inf,Inf,0,4.3225,Inf,-0.092419,4.3225,Inf,-0.022051,1.6943,-0.042014,3.4272,6.2766,-0.17151,-0.097338,3.876,0.41212,0.81437,1.8263,-0.20654,4.3225,Inf,Inf,-0.13817,1.5561,-0.10734,-0.30729,-0.36261,-0.076295,-0.29133,-0.41839,-0.017485
CPR1ERY2STR1DOX3TMP3,1,1,0.81113,0.92992,0.69659,1,0.97261,1,0.85619,0.88237,0.68972,0.51849,1,0.83883,0.77253,1,1,1,1,0.92482,0.78122,1,0.51837,0.82558,0.73396,1,1,0.9081,0.59245,0.60869,0.50785,NaN,NaN,NaN,Inf,Inf,-0.2583,-0.25568,NaN,2.081,2.5554,Inf,Inf,Inf,4.3225,2.7346,2.7333,4.3225,-0.082575,3.6421,1.2183,-0.042014,3.4272,2.0171,-0.17151,-0.14429,-0.19442,0.41212,-0.30326,9.4452,-0.30259,4.3225,3.3061,5.3323,0.39158,0.48647,-0.10734,0.45964,-0.2736,-0.06691,0.030309,-0.033451,-0.37472
CPR1ERY2STR2DOX1TMP1,1,1,0.85252,1,1,1,1,1,1,1,1,0.88176,1,0.85017,1,1,1,1,1,1,1,1,0.77395,0.72796,0.64702,0.81005,0.94962,1,0.99031,0.58275,1,NaN,NaN,NaN,NaN,NaN,NaN,-0.11824,NaN,-0.0027566,NaN,Inf,0,0,Inf,Inf,0,Inf,-0.092168,-0.27204,-0.24106,-0.12852,0,1065007872088772,-0.12852,0.015935,0,-0.12852,-0.13703,-0.17443,-0.35146,-0.049823,Inf,0,Inf,-0.31644,-0.049823,0.83334,1.3008,145.0791,0.89055,Inf,-0.050083
CPR1ERY2STR2DOX1TMP2,1,1,0.85252,1,1,1,1,1,0.93386,1,1,0.651,1,0.55033,1,1,1,1,1,1,1,1,0.49925,0.76828,0.93737,0.81005,1,1,0.83044,0.85653,1,NaN,NaN,NaN,NaN,NaN,NaN,-0.349,NaN,-0.35448,NaN,Inf,0,0,Inf,Inf,0,Inf,-0.41439,-0.23172,Inf,-0.12852,0,6.2766,-0.12852,3.9367,595751327732836,-0.12852,0.6596,1056364944688451,1.6245,-0.049823,Inf,0,-0.025902,Inf,-0.049823,-0.086043,-0.15499,-0.35435,0.24021,Inf,0.98643
CPR1ERY2STR2DOX1TMP3,1,1,0.85252,1,0.69659,1,1,1,0.85619,1,1,0.51849,1,0.76272,0.95184,1,1,1,1,1,1,1,0.61548,0.55679,0.66549,0.81005,1,1,1,0.53646,1,NaN,NaN,NaN,Inf,NaN,NaN,-0.25568,NaN,1.6437,NaN,Inf,0,Inf,Inf,3.9534,Inf,Inf,0.21039,-0.2007,0.69723,-0.12852,0,2.0171,-0.12852,-0.0015069,-0.10026,-0.12852,-0.13752,-0.28039,-0.38554,-0.049823,3.9534,Inf,3.9534,-0.096654,-0.049823,-0.021276,0.17908,1.3564,1.472,3.9534,-0.01489
CPR1ERY2STR2DOX2TMP1,1,1,0.85252,0.95802,1,1,1,1,1,1,0.78707,0.88176,1,0.85017,0.8361,1,1,1,1,1,1,1,0.77395,0.65275,0.67353,1,0.94962,1,0.99164,0.69386,1,NaN,NaN,NaN,NaN,NaN,-0.17844,-0.11824,NaN,-0.0027566,-0.12726,Inf,Inf,0,5.1208,Inf,Inf,5.1208,-0.092168,-0.31865,-0.17534,-0.12852,4.0722,1065007872088772,-0.15043,0.015935,2.9043,0.013717,-0.13703,0.42889,-0.24645,5.1208,Inf,Inf,4.8871,-0.15044,0.04633,0.83334,-0.087517,2.6103,3.7193,5.1208,-0.15218
CPR1ERY2STR2DOX2TMP2,1,1,0.85252,0.95802,1,1,1,1,0.93386,1,0.78707,0.651,1,0.55033,0.94426,1,1,1,1,1,1,1,0.49925,0.62109,0.68664,1,1,1,1,0.83207,1,NaN,NaN,NaN,NaN,NaN,-0.17844,-0.349,NaN,-0.35448,NaN,Inf,Inf,0,5.1208,Inf,Inf,5.1208,-0.41439,-0.3517,-0.15928,-0.12852,4.0722,6.2766,-0.15043,3.9367,2.7333,0.013717,0.6596,0.98604,-0.017332,5.1208,Inf,Inf,5.1208,0.42843,0.04633,-0.086043,-0.19494,-0.014849,0.95342,5.1208,-0.16346
CPR1ERY2STR2DOX2TMP3,1,1,0.85252,0.95802,0.69659,1,1,1,0.85619,1,0.78707,0.51849,1,0.76272,0.75684,1,1,1,1,1,1,1,0.61548,0.67614,0.83427,1,1,1,1,1,0.93818,NaN,NaN,NaN,Inf,NaN,-0.17844,-0.25568,NaN,1.6437,3.0604,Inf,Inf,Inf,5.1208,3.9534,11.3756,5.1208,0.21039,0.30065,2.0785,-0.12852,4.0722,2.0171,-0.15043,-0.0015069,0.25175,0.013717,-0.13752,7.0641,-0.1074,5.1208,3.9534,11.3756,3.3767,3.3767,0.04633,-0.021276,-0.23782,-0.060793,0.91413,2.8924,-0.25092
CPR1ERY2STR2DOX3TMP1,1,1,0.85252,0.92992,1,1,1,1,1,1,0.68972,0.88176,0.83069,0.85017,0.90112,1,1,1,1,1,1,1,0.77395,1,0.97749,1,0.94962,1,1,0.76348,0.87257,NaN,NaN,NaN,NaN,NaN,-0.2583,-0.11824,0.63463,-0.0027566,NaN,Inf,Inf,0,3.4683,Inf,Inf,3.4683,-0.092168,Inf,3.0915,-0.12852,3.4272,1065007872088772,-0.026842,0.015935,0.4109,1.3535,-0.13703,3.2362,4.8563,3.4683,Inf,Inf,3.4683,-0.03696,-0.17482,0.83334,-0.30591,-0.14466,-0.41871,1.3355,3.4125
